,,,,,,,,,,
Name,Asus Chromebook Flip (C100PA-DB02),Dell Precision 15 5000 Series (5510),Dell XPS 13 Touch (2016),Microsoft Surface Book,Acer Aspire R 14 (R5-471T-52EE),"Apple MacBook Pro 13-Inch, Retina Display (2015)",Dell Inspiron 11 3000 Series 2-in-1 Special Edition (3153),Lenovo IdeaPad 100S-11 (80R2003XUS),Razer Blade Stealth (QHD),MSI GT72 Dominator Pro G-1438
,,,,,,,,,,
Lowest Price,%displayPrice%%seller%$299.00MSRP,%displayPrice%%seller%$2603.00MSRP,%displayPrice%%seller%$1449.99MSRP,%displayPrice%%seller%$1699.00MSRP,%displayPrice%%seller%$699.99MSRP,%displayPrice%%seller%$1299.00MSRP,%displayPrice%%seller%$599.00MSRP,%displayPrice%%seller%$179.99MSRP,%displayPrice%%seller%$1199.00MSRP,%displayPrice%%seller%$2199.99MSRP
Editor Rating,,,,,,,,,,
Type,"General Purpose, Value",Business,"Ultraportable, Tablet","Ultraportable, Tablet","General Purpose, Value, Tablet",Ultraportable,"General Purpose, Value","Ultraportable, Value","General Purpose, Ultraportable",Gaming
Platform,Google Chrome OS,Windows 10,Windows 10,Windows 10,Windows 10,Mac OS X,Windows 10,Windows 10,Windows 10,Windows 8
Processor Name,Rockchip RK3288-C,Intel Core Xeon E3-1505M v5,Intel Core i5-6200U,Intel Core i5-6300U,Intel Core i5-6200U,Intel Core i5-5257U,Intel Core i3-6100U,Intel Atom Z3735F,Intel Core i7-6500U,Intel Core i7-5700HQ
Processor Speed,1.8 GHz,2.8 GHz,2.3 GHz,2.4 GHz,2.3 GHz,2.7 GHz,2.3 GHz,1.33 GHz,2.5 GHz,2.7 GHz
RAM,4 GB,16 GB,8 GB,8 GB,8 GB,8 GB,4 GB,2 GB,8 GB,16 GB
Storage Capacity (as Tested),16 GB,1.5 TB,256 GB,256 GB,256 GB,128 GB,128 GB,32 GB,256 GB,1128 GB
Graphics Card,Rockchip Mali T764,Nvidia Quadro M1000M,Intel HD Graphics 520,Intel HD Graphics 520,Intel HD Graphics 520,Intel Iris 6100,Intel HD Graphics,Intel HD Graphics,Intel HD Graphics 520,Nvidia GeForce GTX 980M
Screen Size,10.1 inches,15.6 inches,13.3 inches,13.5 inches,14 inches,13.3 inches,11.6 inches,11.6 inches,12.5 inches,17.3 inches
Weight,1.96 lb,4.98 lb,2.85 lb,3.34 lb,4.07 lb,3.48 lb,2.98 lb,2.29 lb,2.81 lb,8.5 lb
Battery Rundown - Standard Battery,11:15,5:08,9:02,4:23 hrs:min,9:37,11:10,6:10,11:31,7:36,3:25
,Read Review,Read Review,Read Review,Read Review,Read Review,Read Review,Read Review,Read Review,Read Review,Read Review
